# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
14613066 15.17262 +34.87088 125.08047 -27.96227 4411 0.86 -2.23 34 0.85986 -5.10 0.30 0.42 0.058 12.251 28.75 5.06 4.26 -13.45 30.70 33.52 -14.91
126506223 213.03131 +42.42483 81.10861 +67.55962 4666 1.31 -2.39 -210 0.46260 -3.66 1.10 1.68 0.137 13.022 20.37 10.97 13.44 18.86 10.26 21.47 -13.68
238014169 280.56158 +47.16336 76.23163 +21.01625 4614 1.01 -2.27 -148 0.26582 -4.18 0.88 1.16 1.139 13.230 17.95 7.43 8.97 6.47 16.76 17.97 -15.45
236608219 245.37724 +5.96001 19.83900 +35.87302 4510 1.05 -2.22 -162 0.64928 -4.80 0.44 0.58 0.145 10.795 12.30 2.88 2.76 7.24 3.65 8.11 -11.58
299015081 35.42286 +12.99519 154.41879 -44.28909 4426 0.93 -2.14 -184 0.24108 -5.08 0.32 0.42 0.136 12.358 28.87 5.08 4.58 -20.13 28.09 34.56 -14.77
51510140 254.83679 +16.07016 35.66552 +31.87169 4605 1.16 -2.21 -94 0.51588 -4.04 0.86 1.08 0.129 12.460 18.81 7.37 9.14 9.96 10.56 14.51 -12.68
250314156 63.71733 +18.96191 175.50178 -22.52884 4656 1.35 -2.33 -143 0.65387 -4.22 0.52 0.54 0.238 11.248 11.12 2.45 3.01 -4.23 18.26 18.74 -12.89
160512032 39.05444 +5.17105 164.96445 -48.95867 4417 1.02 -1.95 -200 -0.23498 -4.20 0.92 1.30 0.054 13.093 28.04 12.63 14.79 -21.12 26.22 33.67 -14.39
235803040 151.58388 +35.82166 188.49924 +54.01942 4575 1.18 -2.21 -145 0.52970 -4.56 0.56 0.70 0.054 11.346 14.80 4.08 4.36 12.01 16.65 20.53 -14.30
91304204 166.94200 +7.68971 246.49205 +58.68171 4479 1.17 -2.29 21 0.55842 -3.94 1.04 1.74 0.063 12.600 19.74 10.88 12.13 16.89 15.32 22.80 -14.68
