# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
214001244 220.91821 -0.46116 351.88604 +51.41544 4491 1.08 -2.29 -77 0.70544 -4.74 0.50 0.66 0.148 11.572 17.09 4.48 4.43 13.39 2.96 13.71 -14.99
347616056 236.29272 +19.82509 32.07621 +49.69668 4460 0.78 -2.22 -117 0.53207 -5.18 0.24 0.30 0.099 11.911 25.02 3.23 2.92 19.11 10.32 21.72 -15.40
20612205 22.24783 -0.11974 142.93878 -61.52414 4531 1.08 -2.23 -169 0.93052 -4.44 0.70 0.98 0.121 12.926 28.12 10.21 10.70 -24.69 20.37 32.01 -16.24
340206061 240.72063 +37.55804 59.96801 +48.70397 4678 1.32 -2.13 -294 0.39686 -4.06 0.58 0.64 0.098 9.891 5.90 1.51 1.81 4.46 6.93 8.24 -12.65
205216202 160.65146 -0.14177 248.98642 +48.75565 4630 1.24 -2.27 248 0.80976 -4.36 0.62 0.76 0.102 11.589 14.77 4.36 4.88 11.13 14.65 18.40 -13.05
336805134 236.41696 +7.42815 15.64823 +44.30661 4523 0.98 -2.39 -11 0.53668 -5.00 0.28 0.36 0.087 12.203 26.49 4.05 3.65 18.53 11.46 21.79 -14.79
214013137 223.32249 +2.42659 357.90688 +51.79003 4533 1.08 -2.24 -55 0.60343 -4.94 0.32 0.40 0.103 8.851 5.47 0.92 0.87 4.32 4.62 6.33 -10.86
203603134 92.36015 +14.03293 195.67001 -2.68073 4193 0.97 -1.97 210 0.34185 -4.20 0.90 1.12 0.406 11.093 9.49 3.83 4.88 -0.42 17.32 17.33 -11.96
280816174 161.33990 +12.06746 233.71766 +56.85032 4393 0.62 -2.37 86 0.56406 -5.38 0.12 0.20 0.095 11.940 27.86 2.45 1.58 23.35 20.98 31.39 -15.64
332714246 179.90845 +29.36987 198.78694 +78.38001 4475 0.93 -2.29 15 0.66475 -5.20 0.20 0.26 0.067 9.769 9.56 1.08 0.92 9.39 9.84 13.60 -12.13
